orbis_name,id,original_orbis_name,kununu_name,kununu_id,original_kununu_name,match_type,Unnamed: 0
hellmann worldwide logistics se und co kg,2371890,hellmann worldwide logistics se und co kg,hellmann worldwide logistics se und co kg,4e71aa94-017b-4033-9f17-54ddc4689d16,hellmann worldwide logistics se und co kg,exact_match,
trumpf se co kg,48980769,trumpf se co kg,trumpf se co kg,2ed642e1-c940-4b70-be52-6497548c59d6,trumpf se co kg,exact_match,
td synnex germany gmbh und co ohg,8926402,td synnex germany gmbh und co ohg,td synnex germany gmbh und co ohg,53a7f16a-8785-4548-a268-e74d0b48ac62,td synnex germany gmbh und co ohg,exact_match,
union tank eckstein gmbh und co kg,2746106,union tank eckstein gmbh und co kg,union tank eckstein gmbh und co kg,1922133c-cd4f-40a2-9537-9756cdd9f49a,union tank eckstein gmbh und co kg,exact_match,
franz haniel und cie gmbh,2539412,franz haniel und cie gmbh,franz haniel und cie gmbh,11fae2f7-c050-4895-9272-73c453f35b31,franz haniel und cie gmbh,exact_match,
eni deutschland gmbh,2782059,eni deutschland gmbh,eni deutschland gmbh,5e7f3082-89a1-47b3-b36f-50a1e57d1af9,eni deutschland gmbh,exact_match,
sonepar deutschland gmbh,2530151,sonepar deutschland gmbh,sonepar deutschland gmbh,96f4fe33-9cc3-4363-ba56-786087321adb,sonepar deutschland gmbh,exact_match,
krones ag,50662131,krones ag,krones ag,e309aed4-1132-4b52-9bfe-6df1a5159f20,krones ag,exact_match,
prosiebensat1 media se,2847942,prosiebensat1 media se,prosiebensat1 media se,e6205d44-3280-446a-a252-641f2d804499,prosiebensat1 media se,exact_match,
axel springer se,6740169,axel springer se,axel springer se,d48a0f0b-3a65-4c6c-abb9-f16cd8b017cf,axel springer se,exact_match,
netze bw gmbh,2737893,netze bw gmbh,netze bw gmbh,02f88f7b-5c24-45b8-8722-3b417b91db1a,netze bw gmbh,exact_match,
mutares se und co kgaa,47563886,mutares se und co kgaa,mutares se und co kgaa,3ec0a987-bf7a-44d0-bbf3-91319cc284bf,mutares se und co kgaa,exact_match,
edeka handelsgesellschaft nord mbh,2369296,edeka handelsgesellschaft nord mbh,edeka handelsgesellschaft nord mbh,e98fe695-4721-4e3e-a3cc-d2e687d3c2bb,edeka handelsgesellschaft nord mbh,exact_match,
rollsroyce power systems ag,41241871,rollsroyce power systems ag,rollsroyce power systems ag,b187d32a-a56a-4985-ae9c-22dc8dc50fa1,rollsroyce power systems ag,exact_match,
getec energie gmbh,6539272,getec energie gmbh,getec energie gmbh,3dd44df6-0e33-468d-a110-c9504315c6f4,getec energie gmbh,exact_match,
orlen deutschland gmbh,12065000,orlen deutschland gmbh,orlen deutschland gmbh,a54c1f3b-93ce-4b26-bdda-00123d0ec0ee,orlen deutschland gmbh,exact_match,
ewe vertrieb gmbh,71349668,ewe vertrieb gmbh,ewe vertrieb gmbh,a676b8aa-7979-4300-b792-fbf9fc3d5209,ewe vertrieb gmbh,exact_match,
miele und cie kg,2473531,miele und cie kg,miele und cie kg,587a112f-f06e-4842-bcc2-6ecda353c4e3,miele und cie kg,exact_match,
cronimet holding gmbh,18513281,cronimet holding gmbh,cronimet holding gmbh,829c887e-6a8f-47d2-9082-e73cd55f5cc1,cronimet holding gmbh,exact_match,
enercon gmbh,2360231,enercon gmbh,enercon gmbh,c0533a19-46c4-4642-b416-361c4923c28e,enercon gmbh,exact_match,
amprion gmbh,9882575,amprion gmbh,amprion gmbh,e440f43f-939a-4d08-9bf7-32e9c7efcc9b,amprion gmbh,exact_match,
hugo boss ag,50664762,hugo boss ag,hugo boss ag,e7bab9db-ca2f-46c7-869a-1cdc1bea972c,hugo boss ag,exact_match,
dell gmbh,13646388,dell gmbh,dell gmbh,d5251c2e-13ca-4960-95ce-499ec31aebbd,dell gmbh,exact_match,
ibm deutschland gmbh,2731048,ibm deutschland gmbh,ibm deutschland gmbh,4aa9a9e4-24be-4332-b2be-10aaaa84f9b7,ibm deutschland gmbh,exact_match,
gehe pharma handel gmbh,2730894,gehe pharma handel gmbh,gehe pharma handel gmbh,19c20cd5-b885-4a96-9f78-83ce3749a195,gehe pharma handel gmbh,exact_match,
phoenix contact gmbh und co kg,51056072,phoenix contact gmbh und co kg,phoenix contact gmbh und co kg,0e5dd6e8-80b3-4587-8e66-ffd0e2d80eab,phoenix contact gmbh und co kg,exact_match,
novartis pharma gmbh,2800848,novartis pharma gmbh,novartis pharma gmbh,b6c080ad-26c1-4609-aef6-4aee8d988f2f,novartis pharma gmbh,exact_match,
bayerngas gmbh,58910635,bayerngas gmbh,bayerngas gmbh,bbba65cf-2f3d-40ab-a1ba-11b024372893,bayerngas gmbh,exact_match,
samsung semiconductor europe gmbh,41199058,samsung semiconductor europe gmbh,samsung semiconductor europe gmbh,5dcb27c3-0e7b-4f51-b42a-995dd00bae7b,samsung semiconductor europe gmbh,exact_match,
nergie ag,2803846,nergie ag,nergie ag,67a390fc-dc4d-4461-a9f6-1fe66183fc73,nergie ag,exact_match,
